u,v,key,osmid,oneway,highway,maxspeed,reversed,length,from,to,lanes,name,bridge,junction,width,access,service,tunnel
255015605,1284479744,0,200029175,1,primary_link,30,False,37.701,255015605,1284479744,,,,,,,,,
255015605,1284479766,0,403167399,1,primary,40,False,105.992,255015605,1284479766,2,Avenida de la Marina,,,,,,,
255015605,1284479773,0,1276425076,1,primary,50,False,43.085,1284479773,255015605,2,Avenida de la Marina,,,,,,,
255015612,1284479835,0,200028847,1,residential,40,False,28.289,255015612,1284479835,1,Calle Moral,,,,,,,
255015612,255015626,0,1270954406,1,primary,50,False,16.649,255015612,255015626,2,Avenida de la Marina,,,,,,,
255015612,257888216,0,370654129,1,primary,50,False,132.053,257888216,255015612,2,Avenida de la Marina,,,,,,,
255015612,4055452455,0,408760590,1,residential,40,False,6.797,4055452455,255015612,1,Calle Moral,,,,,,,
255015619,7105789187,0,113213187,1,primary,50,False,169.465,255015619,7105789187,3,Avenida de la Marina,,,,,,,
255015619,255015622,0,"[24009560, 23552138, 24009558]",1,primary_link,40,False,244.935,255015622,255015619,1,,yes,,,,,,
255015619,1284479744,0,"[1270954408, 1191468774, 1191468775]",1,primary,50,False,200.642,1284479744,255015619,3,Avenida de la Marina,,,,,,,
255015622,6327629824,0,"[675676450, 675676451, 675676452, 760657072, 760657073, 1191537874]",0,footway,,False,282.787,6327629824,255015622,,,yes,,,,,,
255015622,255015624,0,23552138,1,primary_link,40,False,49.838,255015624,255015622,1,,,,,,,,
255015624,255025369,0,902912639,1,primary,50,False,100.684,255015624,255025369,3,Avenida Ej?�rcito,,AR-743,,,,,
255015624,6314219626,0,175588727,1,residential,30,False,12.803,6314219626,255015624,2,Calle la Recoleta,,,,,,,
255015626,7105789186,0,403167388,1,primary,50,False,5.683,255015626,7105789186,2,Avenida de la Marina,,,,,,,
255015626,1284479757,0,200028848,1,primary_link,30,False,24.762,1284479757,255015626,1,,,,,,,,
255025369,255025373,0,24286560,1,primary,40,False,40.551,255025369,255025373,2,?�valo Miguel Grau,,AR-743,roundabout,,,,
255025369,11010602478,0,24286560,1,primary,40,False,22.361,11010602478,255025369,2,?�valo Miguel Grau,,AR-743,roundabout,,,,
255025373,5534090493,0,1270964365,1,primary,40,False,19.868,255025373,5534090493,2,?�valo Miguel Grau,,AR-743,roundabout,,,,
255025373,2100151396,0,"[23552132, 200013500, 24286575]",1,primary,40,False,208.713,2100151396,255025373,"['2', '3']",Calle Puente Grau,yes,,,,,,
255025391,876656059,0,354948232,1,residential,30,False,18.423,255025391,876656059,1,Calle Santa Catalina,,,,,,,
255025391,257689298,0,23994452,1,residential,30,False,102.433,255025391,257689298,2,Calle Santa Catalina,,,,,,,
255025391,1264289574,0,23552136,1,residential,40,False,120.838,1264289574,255025391,2,Calle Ugarte,,,,,,,
255025392,1264284856,0,23552137,0,residential,30,False,119.425,1264284856,255025392,2,Calle Francisco de Zela,,,,,,,
255025392,257689328,0,354948232,1,residential,30,False,65.745,255025392,257689328,1,Calle Santa Catalina,,,,,,,
255025392,257887190,0,354948232,1,residential,30,False,58.377,257887190,255025392,1,Calle Santa Catalina,,,,,,,
255025421,6314219626,0,175588727,1,residential,30,False,140.025,255025421,6314219626,2,Calle la Recoleta,,,,,,,
255025421,4075488093,0,175588727,1,residential,30,False,159.554,4075488093,255025421,2,Calle la Recoleta,,,,,,,
255025421,4075491941,0,23552147,1,residential,30,False,84.364,4075491941,255025421,,Ronda Recoleta,,,,,,,
255025425,5122593494,0,110822228,0,living_street,,True,60.468,5122593494,255025425,,,,,,,,,
255025425,4075491941,0,405343715,0,residential,30,True,116.031,4075491941,255025425,,Ronda Recoleta,,,,,,,
255025425,255025427,0,405343715,0,residential,30,False,109.195,255025427,255025425,,Ronda Recoleta,,,,,,,
255025427,5186775693,0,110843401,0,tertiary,50,True,50.717,5186775693,255025427,2,Avenida Emmel,,,,,,,
257553424,9487193848,0,1029022308,1,tertiary,60,False,18.898,257553424,9487193848,2,Avenida de la Marina,,,,,,,
257553424,259757272,0,1276430731,1,tertiary,40,False,10.637,259757272,257553424,,Calle 28 de Julio,,,,,,,
257553424,1284479741,0,370654146,1,secondary,60,False,99.784,1284479741,257553424,2,Avenida de la Marina,,,,,,,
257553430,11012886975,0,110812060,1,tertiary,40,False,21.355,257553430,11012886975,,Avenida Salaverry,,,,,,,
257553430,11009127066,0,1185165289,1,primary,50,False,6.632,257553430,11009127066,2,Alameda Mario Vargas Llosa,,AR-114,,,,,
257553430,1264359104,0,419542150,1,residential,40,False,202.461,1264359104,257553430,,Calle la Merced,,,,,,,
257553430,2085078794,0,434310884,1,tertiary,30,False,17.719,2085078794,257553430,1,Calle Sucre,,,,,,,
257553430,11009127065,0,1185165288,1,primary,40,False,7.053,11009127065,257553430,2,Avenida Salaverry,,,,,,,
257553434,2084948813,0,198354872,0,primary,,False,7.008,2084948813,257553434,,Pasaje Martinetti,,,,,,,
257553434,260365760,0,1185046362,1,primary,60,False,77.154,257553434,260365760,,Avenida Parra,,AR-114,,,,,
257553434,5706313119,0,110810761,0,primary,50,False,75.361,5706313119,257553434,2,Pasaje Martinetti,,,,,,,
257553434,9410645594,0,425166823,1,primary,60,False,87.697,9410645594,257553434,,Avenida Parra,,AR-114,,,,,
257553441,8374968447,0,103800664,1,trunk,40,False,11.375,257553441,8374968447,2,,,PE-34C,roundabout,,,,
257553441,10904424405,0,103800670,1,primary,40,False,20.694,257553441,10904424405,2,Avenida Miguel Forga,,,,,,,
257553441,11007937311,0,103800664,1,trunk,40,False,6.066,11007937311,257553441,2,,,PE-34C,roundabout,,,,
257571168,10904424561,0,491223451,1,primary,40,False,18.289,257571168,10904424561,2,Avenida Miguel Forga,,,,,,,
257571168,5375241714,0,557340194,1,residential,30,False,353.261,257571168,5375241714,2,Calle V?�ctor Lira,,,,,,,
257571168,2087449451,0,198637981,1,residential,40,False,17.489,257571168,2087449451,,Calle Jacinto Ib?�??ez,,,,,,,
257571168,260368188,0,198637978,1,residential,40,False,18.935,260368188,257571168,,Calle Jacinto Ib?�??ez,,,,,,,
257571168,10904424545,0,491223451,1,primary,40,False,21.316,10904424545,257571168,2,Avenida Miguel Forga,,,,,,,
257689298,1264342650,0,23994451,1,residential,40,False,120.855,257689298,1264342650,2,Calle Moral,,,,,,,
257689298,876656046,0,419739135,0,pedestrian,,True,63.755,876656046,257689298,,Santa Catalina,,,,6,,,
257689298,5380727094,0,23994451,1,residential,40,False,123.365,5380727094,257689298,2,Calle Moral,,,,,,,
257689328,1264309103,0,113213186,1,tertiary,40,False,117.398,257689328,1264309103,2,Calle Puente Grau,,,,,,,
257689328,257689498,0,354948232,1,residential,30,False,72.08,257689328,257689498,1,Calle Santa Catalina,,,,,,,
257689328,2365980323,0,534153225,1,tertiary,40,False,61.99,2365980323,257689328,2,Calle Puente Grau,,,,,,,
257689498,531251853,0,113213184,1,primary,60,False,15.23,257689498,531251853,2,Juan del la Torre,,,,,,,
257689498,4055466962,0,403171364,1,primary_link,30,False,26.921,4055466962,257689498,,,,,,,,,
257689498,10997907541,0,113213184,1,primary,60,False,17.675,10997907541,257689498,2,Juan del la Torre,,,,,,,
257689625,10885702067,0,113213184,1,primary,60,False,17.477,257689625,10885702067,2,Juan del la Torre,,,,,,,
257689625,1264342868,0,1171478808,0,residential,,False,15.859,1264342868,257689625,,Pasaje Bayoneta,,,,,,,
257689625,531251853,0,113213184,1,primary,60,False,26.78,531251853,257689625,2,Juan del la Torre,,,,,,,
257689666,1284563549,0,"[113219960, 23783058, 113219947, 1185558407]",0,living_street,,True,86.912,1284563549,257689666,,,yes,,,,private,,
257689666,257889419,0,403167402,1,primary,30,False,27.9,257689666,257889419,,,,,,,,,
257689666,1284479744,0,1191468774,1,primary,50,False,159.278,257689666,1284479744,3,Avenida de la Marina,,,,,,,
257689666,1284479890,0,403167408,1,primary,60,False,18.21,1284479890,257689666,2,Avenida de la Marina,,,,,,,
257689748,4336252344,0,356841216,1,primary,60,False,12.872,257689748,4336252344,2,Juan del la Torre,,,,,,,
257689748,1264300204,0,"[175549049, 668365565, 668365566]",0,residential,,True,93.155,1264300204,257689748,,Quinta Vivanco,yes,,,,,,
257689748,7112683822,0,356841216,1,primary,60,False,25.96,7112683822,257689748,2,Juan del la Torre,,,,,,,
257689749,1284479890,0,356841216,1,primary,60,False,47.964,257689749,1284479890,2,Juan del la Torre,,,,,,,
257689749,1736356090,0,"[1171486227, 1171486228, 161669167]",0,"['footway', 'steps']",,False,12.88,1736356090,257689749,,,,,,,,,
257689749,4336252344,0,356841216,1,primary,60,False,12.843,4336252344,257689749,2,Juan del la Torre,,,,,,,
257689988,259156435,0,1029074106,1,secondary_link,40,False,55.505,257689988,259156435,1,,,,,,,,
257689988,259156405,0,1029074106,1,secondary_link,40,False,85.993,259156405,257689988,1,,,,,,,,
257689988,1252984299,0,391466729,1,residential,,False,48.425,1252984299,257689988,,Calle Consuelo,,,,,,,
257887190,257887385,0,354948232,1,residential,30,False,123.298,257887385,257887190,1,Calle Santa Catalina,,,,,,,
257887190,1284479824,0,110829876,1,residential,40,False,61.718,1284479824,257887190,2,Calle Francisco de Zela,,,,,,,
257887385,4110736812,0,23798530,1,residential,40,False,48.208,257887385,4110736812,,Calle Ugarte,,,,,,,
257887385,876656059,0,354948232,1,residential,30,False,4.308,876656059,257887385,1,Calle Santa Catalina,,,,,,,
257888214,3605978251,0,405342780,1,primary,60,False,32.542,257888214,3605978251,2,Avenida de la Marina,,,,,,,
257888214,257888216,0,200025387,1,residential,30,False,26.006,257888214,257888216,1,Calle San Agust?�n,,,,,,,
257888214,1284479835,0,1270954407,1,primary,50,False,102.307,1284479835,257888214,3,Avenida de la Marina,,,,,,,
257888216,4055452452,0,110831198,0,residential,40,True,10.9,4055452452,257888216,2,Calle San Agust?�n,,,,,,,
257888216,4055452451,0,370654129,1,primary,50,False,7.581,4055452451,257888216,2,Avenida de la Marina,,,,,,,
257889419,2100151394,0,200029110,1,primary,30,False,24.244,257889419,2100151394,,,,,,,,,
257889419,1284479802,0,403167410,1,primary,60,False,25.048,257889419,1284479802,2,Avenida de la Marina,,,,,,,
257889419,1284479766,0,403167399,1,primary,40,False,22.628,1284479766,257889419,2,Avenida de la Marina,,,,,,,
257889677,4106794719,0,458554565,0,tertiary,50,False,2.976,4106794719,257889677,2,Avenida Francisco Bolognesi,,,,,,,
257889677,4318641453,0,23798829,1,tertiary,30,False,38.966,257889677,4318641453,2,Avenida Francisco Bolognesi,,,,,,,
257889677,4318641455,0,23798827,1,tertiary,30,False,37.109,4318641455,257889677,2,Avenida Francisco Bolognesi,,,,,,,
258058331,5208918205,0,538065237,0,footway,,True,14.825,5208918205,258058331,,,,,,,,,
