osmid,y,x,street_cou,highway,ref
255015605,-16.3927999,-71.5382595,3,,
255015612,-16.3958857,-71.5397615,4,,
255015619,-16.3943077,-71.5390313,3,,
255015622,-16.3924879,-71.5402065,3,,
255015624,-16.3922555,-71.5406044,5,,
255015626,-16.3957895,-71.5396419,3,,
255025369,-16.392622,-71.5397526,3,,
255025373,-16.3925985,-71.5394528,3,,
255025391,-16.3962247,-71.5365403,3,,
255025392,-16.3944914,-71.535904,3,,
255025421,-16.3934626,-71.5412538,3,,
255025425,-16.3935121,-71.5429306,3,,
255025427,-16.3934681,-71.5439532,4,,
257553424,-16.4023706,-71.5428461,3,,
257553430,-16.4056874,-71.5400942,5,,
257553434,-16.4126853,-71.5455556,4,,
257553441,-16.4221575,-71.5442525,3,,
257571168,-16.4213098,-71.545711,5,,
257689298,-16.3970863,-71.5368801,4,,
257689328,-16.3939332,-71.5357008,4,traffic_signals,
257689498,-16.3933344,-71.5354481,4,,
257689625,-16.3931231,-71.5351452,3,,
257689666,-16.3925391,-71.537052,4,,
257689748,-16.3930482,-71.5363805,3,,
257689749,-16.3929116,-71.5365745,3,crossing,
257689988,-16.3999551,-71.5420917,3,,
257887190,-16.3949866,-71.5360857,3,,
257887385,-16.3960326,-71.5364693,3,,
257888214,-16.3964679,-71.5407441,3,,
257888216,-16.3966854,-71.540668,4,,
257889419,-16.3927608,-71.5371696,4,,
257889677,-16.3920033,-71.5395689,3,,
258058331,-16.3973109,-71.5471994,3,,
258058336,-16.3971443,-71.5475237,3,,
258058338,-16.3972416,-71.5475569,3,,
259156387,-16.3997158,-71.5424577,3,,
259156397,-16.3990897,-71.5418442,3,,
259156405,-16.4006325,-71.5424806,3,,
259156435,-16.3994833,-71.5419226,3,,
259156755,-16.3983995,-71.5418079,3,,
259757272,-16.4024061,-71.5427535,4,,
260365760,-16.412141,-71.545107,4,,
260366211,-16.4083481,-71.5514714,4,,
260368188,-16.4211475,-71.5456971,4,,
283417881,-16.40594,-71.5472096,3,,
283417887,-16.4060335,-71.5471882,4,crossing,
283422405,-16.4042329,-71.5462255,4,,
283422406,-16.4048443,-71.5465436,3,,
283422603,-16.4043244,-71.5424846,3,,
283423115,-16.4047297,-71.5427896,3,,
283423119,-16.4045818,-71.542448,3,,
283423130,-16.4042369,-71.542612,3,,
283423449,-16.4025628,-71.5472713,4,,
283423451,-16.4043571,-71.5429374,3,,
283423807,-16.4031585,-71.5474855,4,,
283423882,-16.40237,-71.5478485,3,,
283424077,-16.4000676,-71.5498646,4,,
283787906,-16.4037069,-71.5493073,5,,
283789174,-16.4024326,-71.5490933,3,,
283789844,-16.4026654,-71.5509265,3,,
283789846,-16.4025458,-71.5512262,4,,
283795209,-16.4015608,-71.5508085,4,,
283812502,-16.4003179,-71.5464353,3,,
283812507,-16.3979937,-71.5457276,4,,
283812509,-16.3978875,-71.5456859,4,,
283814466,-16.3996793,-71.5463845,3,,
286866805,-16.4028382,-71.5514614,4,,
286866810,-16.402882,-71.5513499,3,,
287889414,-16.4165786,-71.5506786,3,,
303567295,-16.404095,-71.5435595,4,traffic_signals,
303567317,-16.4041309,-71.5434762,4,traffic_signals,
409472812,-16.4200957,-71.5381194,4,,
409472813,-16.4208682,-71.5404591,4,,
409472815,-16.417624,-71.5347649,4,,
409472817,-16.4214134,-71.5414472,4,,
409473092,-16.4230025,-71.5452408,3,,
461499177,-16.3968025,-71.5343086,4,,
461499178,-16.3971967,-71.5332068,4,,
462009629,-16.3992429,-71.5340491,4,traffic_signals,
462009631,-16.39861,-71.5325669,4,crossing,
472283032,-16.3944035,-71.5320435,3,,
472283033,-16.391951,-71.5314002,4,,
531251853,-16.3933022,-71.53531,3,,
531251864,-16.3922998,-71.5343873,3,,
531251889,-16.3918845,-71.5323625,4,,
531251996,-16.3939176,-71.5317896,3,,
531252021,-16.3934197,-71.5336573,5,,
531252143,-16.3935228,-71.5317367,3,,
531252148,-16.3918844,-71.5314024,4,,
531263579,-16.3909191,-71.5285466,3,crossing,
531269880,-16.3916436,-71.5307318,3,,
531269963,-16.3917021,-71.530692,4,,
531270051,-16.3924386,-71.5306669,4,,
531270064,-16.3934902,-71.5306441,5,crossing,
531270069,-16.3947759,-71.5310529,3,,
531270096,-16.3924223,-71.5315156,3,,
531270109,-16.3934083,-71.5293583,4,,
873867970,-16.4005144,-71.546502,3,,
873867977,-16.3985992,-71.5445806,4,,
873868065,-16.3933738,-71.5338353,3,,
876655990,-16.3946315,-71.5365744,3,,
876655994,-16.3951914,-71.5366831,3,,
876655996,-16.3947889,-71.5366365,3,,
876656003,-16.3953833,-71.5363377,3,,
876656015,-16.3946783,-71.5363296,3,,
876656016,-16.3958264,-71.5370593,3,,
876656017,-16.3953241,-71.5364156,3,,
876656025,-16.3964002,-71.5426316,3,,
876656039,-16.3945964,-71.536666,1,,
876656046,-16.397631,-71.5370664,3,,
876656059,-16.3960707,-71.5364766,3,,
876656064,-16.3948796,-71.5363841,3,,
876656091,-16.394607,-71.5365623,3,,
876656094,-16.3957063,-71.5370163,3,,
876656103,-16.3959173,-71.536933,3,,
876656108,-16.3956102,-71.5368224,3,,
911059921,-16.3975711,-71.5321428,4,crossing,
911059962,-16.3990112,-71.5314637,4,,
914103783,-16.3938503,-71.5284137,4,crossing,
914103844,-16.3979809,-71.5310208,3,,
914192142,-16.4054799,-71.5404998,3,,
914192146,-16.4043258,-71.5405656,3,,
914192160,-16.4033138,-71.5430625,3,,
914202058,-16.3982212,-71.5336362,4,,
914626999,-16.3950766,-71.5323181,4,crossing,
1198280880,-16.3974138,-71.547311,3,,
1198315877,-16.417508,-71.5497827,4,,
1198315894,-16.4220537,-71.5444786,4,crossing,
1198315913,-16.4210432,-71.5455976,4,,
1198315916,-16.4224562,-71.5443831,3,,
1198315928,-16.4224562,-71.5442546,3,,4
1198315931,-16.4169741,-71.5504487,3,,
1198315932,-16.4177937,-71.5500743,4,,
1198315949,-16.4221691,-71.5445928,4,,
1198315960,-16.416885,-71.5502458,3,,
1198453759,-16.4272805,-71.5582346,3,,
1198453785,-16.4273419,-71.55816,4,,
1198729212,-16.4135682,-71.554139,3,,
1252902836,-16.4320415,-71.563005,3,,
1252903591,-16.403876,-71.518726,3,,
1252906565,-16.400145,-71.5380008,4,traffic_signals,
1252908763,-16.4019904,-71.5499623,3,,
1252909280,-16.4093948,-71.5364608,3,,
1252911231,-16.4298194,-71.5601926,4,,
1252914267,-16.4046928,-71.5350429,4,,
1252914298,-16.4122088,-71.527605,1,,
1252917034,-16.3964736,-71.5385011,4,,
1252918191,-16.4082854,-71.5334034,4,,
1252919040,-16.3990815,-71.5461577,3,,
1252919106,-16.4042227,-71.5495275,4,,
1252919791,-16.4130023,-71.5279979,3,,
1252921146,-16.4005453,-71.5369674,4,,
1252922332,-16.3973352,-71.5293945,4,,
1252923627,-16.4140604,-71.543504,3,,
1252923874,-16.408513,-71.5445181,4,,
1252927980,-16.4139184,-71.5294338,3,,
1252928877,-16.4112959,-71.5399633,3,,
1252929363,-16.3851501,-71.5372268,3,,
1252929676,-16.4055064,-71.5517694,4,,
1252930652,-16.4101795,-71.5501226,3,,
1252931128,-16.408318,-71.5490895,3,,
1252931258,-16.3994126,-71.548615,4,,
1252931298,-16.4168338,-71.5331565,4,,
1252936815,-16.3981745,-71.5434862,3,,
1252937878,-16.4091773,-71.5373912,3,,
1252938065,-16.3980728,-71.5239577,4,traffic_signals,
1252938327,-16.4120929,-71.5274319,3,,
1252938522,-16.4054032,-71.5430318,4,,
1252941623,-16.400163,-71.5415099,3,,
1252947417,-16.4089623,-71.535923,3,,
1252947852,-16.4033502,-71.5404223,3,,
1252947886,-16.4165508,-71.5493437,3,,
1252948881,-16.4109838,-71.5464404,3,,
1252953912,-16.3995301,-71.530581,3,,
1252955837,-16.4146442,-71.5288491,4,,
1252967044,-16.4032297,-71.5303285,4,traffic_signals,
1252969336,-16.4150915,-71.5404317,3,,
1252971270,-16.408125,-71.526739,4,,
1252973382,-16.4016966,-71.5183076,4,,
1252975023,-16.4016359,-71.5451522,1,,
1252976709,-16.402352,-71.5189984,3,,
1252980613,-16.4082889,-71.5444199,3,,
1252983486,-16.4059866,-71.5266699,4,,
1252983988,-16.4042962,-71.5361464,3,,
1252984299,-16.4001069,-71.5416662,3,,
1252986345,-16.4209332,-71.5403624,4,,
1252986887,-16.3910444,-71.5368261,1,,
1252988417,-16.4008255,-71.5394531,4,,
1252991786,-16.3988799,-71.5466922,3,,
1252992870,-16.4190835,-71.5477363,4,,
1252993739,-16.4142681,-71.5290874,3,,
1252995416,-16.3997805,-71.5390826,4,,
1252999279,-16.4022831,-71.5493931,3,,
1252999335,-16.4128068,-71.5352592,3,,
1252999562,-16.4076301,-71.5387272,4,,
1253000420,-16.4039508,-71.5196351,4,,
1253000690,-16.3902124,-71.5301442,3,,
1253000709,-16.4105753,-71.5449306,4,,
1253000767,-16.3961967,-71.5265763,3,,
1253002123,-16.4068661,-71.5182955,4,,
1253002760,-16.4147966,-71.5406237,3,,
1253003144,-16.4201881,-71.538098,4,,
1253003569,-16.3996813,-71.5495812,3,,
1253003891,-16.4029884,-71.5367851,4,,
1253005222,-16.4011362,-71.5415038,4,,
1253005372,-16.4167202,-71.5338698,3,,
1253006228,-16.4069292,-71.5419443,3,,
1253008354,-16.3991278,-71.537626,3,,
1253009219,-16.4075409,-71.5356233,5,,
1253010622,-16.4064417,-71.5429571,3,,
1253011195,-16.4085374,-71.5285846,4,,
1253011499,-16.4219723,-71.5522392,3,,
1253014981,-16.3905772,-71.5314205,3,,
1253020294,-16.4004842,-71.5405463,4,,
1253023725,-16.4088633,-71.5342757,3,,
1253032353,-16.4086912,-71.5434744,4,,
1253034020,-16.4109938,-71.5363993,3,,
1253034193,-16.4114135,-71.531828,3,,
1253035248,-16.4203972,-71.5405263,3,,
1253035395,-16.3980686,-71.5437174,4,,
1253035570,-16.4072778,-71.526817,3,,
1253035660,-16.4024946,-71.5294231,4,traffic_signals,
1253036907,-16.4095607,-71.5266352,4,,
1253037009,-16.4058546,-71.5307723,3,,
1253037869,-16.4026135,-71.5377593,4,,
1264281008,-16.3956736,-71.5456757,3,,
1264281009,-16.4041995,-71.5218113,3,,
1264281015,-16.3924123,-71.5350788,1,,
1264281373,-16.3994823,-71.5365622,4,,
1264281454,-16.4058295,-71.5254347,3,,
1264281629,-16.4193079,-71.537713,3,,
